timestamps,variable,value,name,plume_start_time,plume_width,plume_stop_time,folder_name,channel_id,species,instrument_model,instrument_number,correction,instrument_unit,plume
14:12.8,ae33_bc,0.98,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:13.6,ae33_bc,0.21,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:15.4,ae33_bc,0.555,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:16.2,ae33_bc,0.597,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:17.1,ae33_bc,0.683,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:18.0,ae33_bc,0.982,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:18.8,ae33_bc,1.155,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:19.7,ae33_bc,0.128,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:21.4,ae33_bc,-0.087,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:22.3,ae33_bc,0.768,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:23.1,ae33_bc,0.597,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:24.0,ae33_bc,1.023,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:24.9,ae33_bc,0.125,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:25.7,ae33_bc,0.51,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:26.6,ae33_bc,0.595,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:28.3,ae33_bc,0.68,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:29.2,ae33_bc,0.94,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:30.0,ae33_bc,0.385,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:30.9,ae33_bc,0.425,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:31.8,ae33_bc,-0.045,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:32.6,ae33_bc,0.98,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:34.4,ae33_bc,0.34,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:35.2,ae33_bc,0.81,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:36.1,ae33_bc,0.595,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:37.0,ae33_bc,0.508,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:37.8,ae33_bc,0.895,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:38.7,ae33_bc,0.21,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:40.4,ae33_bc,0.508,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:41.3,ae33_bc,-0.215,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:42.1,ae33_bc,0.81,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:43.0,ae33_bc,0.468,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:43.9,ae33_bc,0.47,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:44.7,ae33_bc,0.085,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:45.6,ae33_bc,-0.085,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:47.3,ae33_bc,0.938,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:48.2,ae33_bc,0.725,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:49.1,ae33_bc,0.468,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:49.9,ae33_bc,-0.172,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:50.8,ae33_bc,0.81,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:51.6,ae33_bc,0.338,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:53.4,ae33_bc,0.935,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:54.2,ae33_bc,0.336,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:55.1,ae33_bc,-0.132,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
14:56.0,ae33_bc,,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:16.3,ae33_bc,0.005,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:17.2,ae33_bc,0.546,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:18.0,ae33_bc,0.04,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:18.9,ae33_bc,-0.428,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:19.8,ae33_bc,0.04,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:20.6,ae33_bc,0.426,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:22.4,ae33_bc,-0.172,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
16:23.2,ae33_bc,0.383,3_8_ae33.xlsx,42:02.0,12.9599981,42:15.0,Trapac_2019_Day5,AE33-1-BC-nan,BC,AE33,1,,ug/m3,FALSE
