timestamps,variable,value,name,plume_start_time,plume_width,plume_stop_time,folder_name,channel_id,species,instrument_model,instrument_number,correction,instrument_unit,plume
2019-03-08 09:13:33.024000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:33.888000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:34.752000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:35.616000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:37.344000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:38.208000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:39.072000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:39.936000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:40.800000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:41.664000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:43.392000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:44.256000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:45.120000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:45.984000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:46.848000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
2019-03-08 09:13:47.712000,ma300_bc,,3_8_ma300.xlsx,2019-03-08 09:42:01.152000,14.688001200556755,2019-03-08 09:42:15.840001,Trapac_2019_Day5,MA300-1-BC-nan,BC,MA300,1,,ug/m3,False
