Timestamp,Instr ID,Channel,Value
2019-09-08 19:39:45.519022,CLD64-1-NOx-nan,NOX,-0.02
2019-09-08 19:39:45.522973,CAPS-1-NO2-nan,NOX,0.07447000000000001
2019-09-08 19:39:45.525102,MA300-1-BC-nan,BC,0.528
2019-09-08 19:39:45.528868,LI7000-1-CO2-nan,CO2,574.444
2019-09-08 19:39:45.532352,SBA5-1-CO2-nan,CO2,622.0
2019-09-08 19:39:45.532967,Vaisala-1-CO2-nan,CO2,597.6
2019-09-08 19:39:45.533326,LI820-1-CO2-nan,CO2,550.168345
2019-09-08 19:39:46.390934,MA300-1-BC-nan,BC,0.645
2019-09-08 19:39:46.435674,SBA5-1-CO2-nan,CO2,620.0
2019-09-08 19:39:46.534579,LI7000-1-CO2-nan,CO2,574.3175
2019-09-08 19:39:46.536838,LI820-1-CO2-nan,CO2,550.816555
2019-09-08 19:39:47.226358,AE33-1-BC-nan,BC,0.1895
2019-09-08 19:39:47.256913,CAPS-1-NO2-nan,NOX,0.07447999999999999
2019-09-08 19:39:47.259785,MA300-1-BC-nan,BC,-0.9329999999999999
2019-09-08 19:39:47.264494,Vaisala-1-CO2-nan,CO2,596.3
2019-09-08 19:39:47.338849,SBA5-1-CO2-nan,CO2,620.0
2019-09-08 19:39:47.529503,CLD64-1-NOx-nan,NOX,-0.02
2019-09-08 19:39:47.537281,LI7000-1-CO2-nan,CO2,571.15
2019-09-08 19:39:47.540352,LI820-1-CO2-nan,CO2,545.48835
2019-09-08 19:39:48.122008,CAPS-1-NO2-nan,NOX,0.07487
2019-09-08 19:39:48.127727,AE33-1-BC-nan,BC,-0.548
2019-09-08 19:39:48.134118,Vaisala-1-CO2-nan,CO2,596.3
2019-09-08 19:39:48.141218,SBA5-1-CO2-nan,CO2,619.0
2019-09-08 19:39:48.530654,CLD64-1-NOx-nan,NOX,-0.02
2019-09-08 19:39:48.541769,LI7000-1-CO2-nan,CO2,569.298
2019-09-08 19:39:48.545811,LI820-1-CO2-nan,CO2,544.395325
2019-09-08 19:39:48.990724,CAPS-1-NO2-nan,NOX,0.07434
2019-09-08 19:39:48.991511,MA300-1-BC-nan,BC,1.301
2019-09-08 19:39:49.000577,Vaisala-1-CO2-nan,CO2,590.0
2019-09-08 19:39:49.045727,SBA5-1-CO2-nan,CO2,618.0
2019-09-08 19:39:49.546041,LI7000-1-CO2-nan,CO2,569.705
2019-09-08 19:39:49.550452,LI820-1-CO2-nan,CO2,545.23949
2019-09-08 19:39:49.831652,AE33-1-BC-nan,BC,-0.2315
2019-09-08 19:39:49.847489,SBA5-1-CO2-nan,CO2,618.0
2019-09-08 19:39:49.858839,MA300-1-BC-nan,BC,1.088
2019-09-08 19:39:49.858839,CAPS-1-NO2-nan,NOX,0.07487
2019-09-08 19:39:49.868900,Vaisala-1-CO2-nan,CO2,590.0
2019-09-08 19:39:50.550289,LI7000-1-CO2-nan,CO2,570.696666666667
2019-09-08 19:39:50.556138,LI820-1-CO2-nan,CO2,546.350185
2019-09-08 19:39:50.728049,MA300-1-BC-nan,BC,0.608
2019-09-08 19:39:50.728603,CAPS-1-NO2-nan,NOX,0.07429
2019-09-08 19:39:50.734308,AE33-1-BC-nan,BC,-0.59
2019-09-08 19:39:50.738363,Vaisala-1-CO2-nan,CO2,591.0
2019-09-08 19:39:50.751240,SBA5-1-CO2-nan,CO2,618.0
2019-09-08 19:39:51.534780,AE33-1-BC-nan,BC,-0.212
2019-09-08 19:39:51.552694,LI7000-1-CO2-nan,CO2,569.74
2019-09-08 19:39:51.559341,LI820-1-CO2-nan,CO2,546.195815
2019-09-08 19:39:51.596204,CAPS-1-NO2-nan,NOX,0.07479
2019-09-08 19:39:51.596243,MA300-1-BC-nan,BC,0.11699999999999999
2019-09-08 19:39:51.604059,Vaisala-1-CO2-nan,CO2,591.0
2019-09-08 19:39:52.437952,AE33-1-BC-nan,BC,0.717
2019-09-08 19:39:52.454564,SBA5-1-CO2-nan,CO2,617.0
2019-09-08 19:39:52.465418,MA300-1-BC-nan,BC,0.8959999999999999
2019-09-08 19:39:52.465299,CAPS-1-NO2-nan,NOX,0.07471
2019-09-08 19:39:52.470059,Vaisala-1-CO2-nan,CO2,594.2
2019-09-08 19:39:52.539136,CLD64-1-NOx-nan,NOX,-0.02
2019-09-08 19:39:52.555906,LI7000-1-CO2-nan,CO2,557.956
2019-09-08 19:39:52.562708,LI820-1-CO2-nan,CO2,532.650275
2019-09-08 19:39:53.339575,MA300-1-BC-nan,BC,0.4
2019-09-08 19:39:53.355293,SBA5-1-CO2-nan,CO2,617.0
2019-09-08 19:39:53.561922,LI7000-1-CO2-nan,CO2,539.304
2019-09-08 19:39:53.566464,LI820-1-CO2-nan,CO2,503.85439
